1.0,5.71,6.84876239657171
0.0,5.82,6.877580312068934
-1.0,5.86,6.906398227566158
-2.0,5.74,6.935216143063382
-5.0,5.67,7.021669889555053
-6.0,5.88,7.050487805052277
-7.0,5.9,7.079305720549501
-8.0,7.28,7.108123636046724
-9.0,7.37,7.136941551543948
-12.0,7.45,7.223395298035619
-13.0,7.35,7.252213213532842
-14.0,7.76,7.281031129030066
-15.0,8.0,7.30984904452729
-16.0,7.64,7.338666960024514
-19.0,7.72,7.425120706516185
-20.0,7.77,7.453938622013409
-21.0,7.68,7.482756537510633
-22.0,7.64,7.5115744530078565
-23.0,7.67,7.5403923685050795
-26.0,7.9,7.626846114996751
-27.0,8.0,7.655664030493975
-28.0,8.14,7.684481945991198
-29.0,8.11,7.713299861488422
-30.0,8.44,7.742117776985646
-33.0,8.55,7.828571523477317
-34.0,8.25,7.857389438974541
-35.0,8.41,7.886207354471765
-36.0,8.32,7.9150252699689885
-37.0,8.5,7.943843185466212
-41.0,8.6,8.059114847455106
-42.0,8.48,8.087932762952331
-43.0,8.53,8.116750678449554
-44.0,8.53,8.145568593946779
-47.0,8.51,8.23202234043845
-48.0,8.41,8.260840255935673
-49.0,8.54,8.289658171432897
-50.0,8.24,8.31847608693012
-51.0,8.36,8.347294002427343
-54.0,8.41,8.433747748919016
-55.0,8.46,8.462565664416239
-56.0,8.52,8.491383579913464
-57.0,8.64,8.520201495410687
-58.0,8.61,8.54901941090791
-61.0,8.73,8.63547315739958
-62.0,8.59,8.664291072896805
-63.0,8.75,8.693108988394028
-64.0,8.84,8.721926903891253
-65.0,8.77,8.750744819388476
-68.0,8.78,8.837198565880147
-69.0,9.02,8.866016481377372
-70.0,9.4,8.894834396874595
-71.0,9.5,8.923652312371818
-72.0,9.71,8.952470227869043
-75.0,9.55,9.038923974360713
-76.0,9.44,9.067741889857938
-77.0,9.2,9.096559805355161
-78.0,9.23,9.125377720852384
-82.0,9.24,9.24064938284128
-83.0,9.06,9.269467298338505
-84.0,9.1,9.298285213835728
-85.0,8.99,9.32710312933295
-86.0,9.12,9.355921044830176
-89.0,9.01,9.442374791321846
-90.0,9.53,9.47119270681907
-91.0,8.99,9.500010622316292
-92.0,9.03,9.528828537813517
-93.0,8.97,9.557646453310742
-96.0,8.81,9.644100199802413
-97.0,8.77,9.672918115299636
-98.0,8.73,9.701736030796859
-99.0,8.68,8.679999999988922
-100.0,8.76,8.759999999989304
-103.0,8.7,8.926000000005587
-104.0,8.73,8.626000000005586
-105.0,8.5,8.326000000005585
-106.0,8.27,8.026000000005588
-107.0,7.43,7.726000000005584
-110.0,7.82,8.077685044600363
-111.0,8.06,8.121990890111848
-112.0,8.37,8.16629673562333
-113.0,8.59,8.210602581134815
-114.0,8.55,8.254908426646299
-118.0,8.52,8.432131808692235
-119.0,8.37,8.47643765420372
-120.0,8.09,8.520743499715204
-121.0,8.21,8.565049345226686
-124.0,8.25,8.69796688176114
-125.0,8.8,8.742272727272624
-126.0,8.8,8.786578572784109
-127.0,8.72,8.830884418295591
-128.0,8.84,8.875190263807076
-131.0,9.26,9.008107800341527
-132.0,9.4,9.052413645853012
-133.0,9.39,9.096719491364496
-134.0,9.57,9.14102533687598
-135.0,9.19,9.185331182387465
-138.0,9.29,9.318248718921916
-139.0,9.27,9.362554564433399
-140.0,8.97,9.406860409944883
-141.0,9.06,9.107714238205398
-142.0,9.11,9.084460428991534
-145.0,9.05,9.014699001349936
-146.0,9.1,8.99144519213607
-147.0,8.72,8.968191382922203
-148.0,8.68,8.944937573708337
-149.0,8.77,8.921683764494471
-152.0,8.78,8.851922336852873
-153.0,8.62,8.828668527639007
-154.0,8.78,8.80541471842514
-155.0,8.78,8.782160909211274
-156.0,8.71,8.758907099997408
-158.95833333333212,8.63,8.690114581073084
-159.95833333333212,8.88,8.666860771859218
-160.95833333333212,9.12,8.643606962645352
-161.95833333333212,9.19,8.620353153431486
-162.95833333333212,8.83,8.59709934421762
-165.95833333333212,8.74,8.527337916576021
-166.95833333333212,8.65,8.504084107362155
-167.95833333333212,8.39,8.48083029814829
-168.95833333333212,8.27,8.457576488934423
-169.95833333333212,8.4,8.434322679720559
-172.95833333333212,8.29,8.36456125207896
-173.95833333333212,8.27,8.341307442865094
-174.95833333333212,8.16,8.318053633651228
-175.95833333333212,8.2,8.294799824437362
-179.95833333333212,8.4,8.201784587581898
-180.95833333333212,8.41,8.178530778368032
-181.95833333333212,8.07,8.155276969154166
-182.95833333333212,7.9,8.1320231599403
-183.95833333333212,7.69,8.108769350726433
-186.95833333333212,8.02,8.039007923084835
-187.95833333333212,7.88,8.015754113870969
-188.95833333333212,8.5,7.992500304657104
-189.95833333333212,7.84,7.969246495443238
-190.95833333333212,7.85,7.945992686229372
-193.95833333333212,8.27,8.3813568228339
-194.95833333333212,8.39,8.437578129322098
-195.95833333333212,8.65,8.493799435810292
-196.95833333333212,8.86,8.55002074229849
-197.95833333333212,8.87,8.606242048786683
-200.95833333333212,8.4,8.774905968251272
-201.95833333333212,8.92,8.831127274739469
-202.95833333333212,9.07,8.887348581227663
-203.95833333333212,9.04,8.94356988771586
-207.95833333333212,8.97,9.168455113668642
-208.95833333333212,9.03,9.22467642015684
-209.95833333333212,9.08,9.280897726645033
-210.95833333333212,9.17,9.33711903313323
-211.95833333333212,9.09,9.393340339621428
-214.95833333333212,9.46,9.562004259086013
-215.95833333333212,9.42,9.61822556557421
-216.95833333333212,9.98,9.674446872062404
-217.95833333333212,9.87,9.730668178550602
-218.95833333333212,9.77,9.786889485038799
